Year,"Population, total",Food production index (2014-2016 = 100),"Goods imports (BoP, current US$)","Goods exports (BoP, current US$)",Consumer price index (2010 = 100),Crop production index (2014-2016 = 100),Cereal production (metric tons),"Inflation, GDP deflator (annual %)","Inflation, GDP deflator: linked series (annual %)","Inflation, consumer prices (annual %)","Official exchange rate (LCU per US$, period average)","Agriculture, forestry, and fishing, value added (% of GDP)","Agriculture, forestry, and fishing, value added (annual % growth)","Agriculture, forestry, and fishing, value added (current US$)",Agricultural land (% of land area)
2015-01-01,40019529,100.26,52261207236.1659,34449182417.5878,126.736646357875,101.74,3761229.6,-4.98674479527003,-4.98674479527003,4.78444700693889,100.691433333333,10.5327896965018,6.95070085511635,19748333505.195,17.4059228102468
2016-01-01,40850721,102.79,49316882927.4104,29316936939.4037,134.844870195013,103.33,3445227.37,0.85668822422295,0.85668822422295,6.39769480268757,109.443066666667,11.0683130545794,1.60494727652396,20007507647.7891,17.3655321884285
2017-01-01,41689299,102.87,48810762377.0039,34569616295.8512,142.384203185789,104.4,3478175.14,4.93800729466362,4.93800729466362,5.59111590961664,110.973016666667,11.0318809304784,-4.08155358561082,20947434456.0714,17.3550108093197
2018-01-01,42505035,108.63,48284091542.4764,41123518094.3812,148.463994714821,115.36,6066238.69,6.16467836481588,6.16467836481588,4.26999020467084,116.593791666667,11.2438301354995,3.26214251914327,21875375663.2257,17.3565679895505
2019-01-01,43294546,112.36,44320173281.7055,35312712054.1986,151.361667767746,121.01,5633592.07,0.882992828066392,0.882992828066392,1.95176821052892,119.353558333333,11.4791798857164,2.56021796228481,22207582617.6879,17.347004145287
2020-01-01,44042091,112.5,34907242968.8532,21914992637.4198,155.017250238567,120.95,4393330.47,-4.71138391622452,-4.71138391622452,2.41513094083414,126.7768,12.8341693887186,2.81835178607896,21160133399.8019,17.3351724641764
2021-01-01,44761099,104.83,37395018713.6665,38628351310.4942,166.218894516626,108.76,2784008.92,15.9325995891296,15.9325995891296,7.22606307415477,135.064058333333,11.2354345605089,-2.20871698276362,20923885198.4683,17.3306152936025
2022-01-01,45477389,111.22,38692933126.6149,65689721844.0186,181.619931977783,118.19,4718203.91,22.9512626061838,22.9512626061838,9.26551551551553,141.994975,10.6131779036563,5.16739672591517,23947410815.0658,17.3445059727317
2023-01-01,46164219,,42851913054.6296,55549415683.3237,198.550857618244,,,0.854841037372282,0.854841037372282,9.32217375928322,135.842933333333,13.086784145579,2.92265937186424,32406301180.202,
